age,depression_mean,depression_relative,age_mean,age_relative
16,0.02388,0.02575,0.16,0.02575
17,0.02723,0.02966,0.17,0.02966
18,0.02498,0.06323,0.18,0.06323
19,0.02485,0.08018,0.19,0.08018
20,0.02545,0.08801,0.2,0.08801
21,0.02475,0.08181,0.21,0.08181
22,0.02292,0.07106,0.22,0.07106
23,0.02364,0.06193,0.23,0.06193
24,0.02326,0.05085,0.24,0.05085
25,0.02517,0.05117,0.25,0.05117
26,0.0242,0.03683,0.26,0.03683
27,0.02386,0.03325,0.27,0.03325
28,0.0272,0.02542,0.28,0.02542
29,0.02577,0.02021,0.29,0.02021
30,0.0255,0.02771,0.3,0.02771
31,0.02643,0.01597,0.31,0.01597
32,0.02686,0.01499,0.32,0.01499
33,0.02467,0.01369,0.33,0.01369
34,0.02969,0.01304,0.34,0.01304
35,0.02769,0.01728,0.35,0.01728
36,0.0251,0.01402,0.36,0.01402
37,0.02783,0.0101,0.37,0.0101
38,0.02976,0.0088,0.38,0.0088
39,0.02995,0.00489,0.39,0.00489
40,0.03006,0.01206,0.4,0.01206
41,0.02722,0.00619,0.41,0.00619
42,0.03086,0.01206,0.42,0.01206
43,0.0347,0.00522,0.43,0.00522
44,0.03501,0.00782,0.44,0.00782
45,0.0314,0.01206,0.45,0.01206
46,0.0392,0.00815,0.46,0.00815
47,0.039,0.00619,0.47,0.00619
48,0.02545,0.00489,0.48,0.00489
49,0.03056,0.00489,0.49,0.00489
50,0.04304,0.0088,0.5,0.0088
51,0.04099,0.00424,0.51,0.00424
52,0.02845,0.00587,0.52,0.00587
53,0.03474,0.00326,0.53,0.00326
54,0.0406,0.00261,0.54,0.00261
55,0.04519,0.00587,0.55,0.00587
56,0.04948,0.00456,0.56,0.00456
57,0.0601,0.00456,0.57,0.00456
58,0.05199,0.00489,0.58,0.00489
59,0.06021,0.00228,0.59,0.00228
60,0.0226,0.0013,0.6,0.0013
61,0.05583,0.00196,0.61,0.00196
62,0.04267,0.00196,0.62,0.00196
63,0.05558,0.00098,0.63,0.00098
64,0.06878,0.00098,0.64,0.00098
65,0.05711,0.00098,0.65,0.00098
66,0.07563,0.00065,0.66,0.00065
67,0.0623,0.00098,0.67,0.00098
68,0.05495,0.00065,0.68,0.00065
69,0.01842,0.00033,0.69,0.00033
70,0.09858,0.00065,0.7,0.00065
71,0.09177,0.00065,0.71,0.00065
72,0.03594,0.00033,0.72,0.00033
73,0.14338,0.00098,0.73,0.00098
75,0.2155,0.00033,0.75,0.00033
